+---------------------------------------------------+
| Mod name | Registry name | Entity class name | ID |
+---------------------------------------------------+
| Minecraft | minecraft:area_effect_cloud | net.minecraft.class_1295 | 0 |
| Minecraft | minecraft:armor_stand | net.minecraft.class_1531 | 1 |
| Minecraft | minecraft:arrow | net.minecraft.class_1667 | 2 |
| Minecraft | minecraft:axolotl | net.minecraft.class_5762 | 3 |
| Minecraft | minecraft:bat | net.minecraft.class_1420 | 4 |
| Minecraft | minecraft:bee | net.minecraft.class_4466 | 5 |
| Minecraft | minecraft:blaze | net.minecraft.class_1545 | 6 |
| Minecraft | minecraft:boat | net.minecraft.class_1690 | 7 |
| Minecraft | minecraft:cat | net.minecraft.class_1451 | 8 |
| Minecraft | minecraft:cave_spider | net.minecraft.class_1549 | 9 |
| Minecraft | minecraft:chest_minecart | net.minecraft.class_1694 | 51 |
| Minecraft | minecraft:chicken | net.minecraft.class_1428 | 10 |
| Minecraft | minecraft:cod | net.minecraft.class_1431 | 11 |
| Minecraft | minecraft:command_block_minecart | net.minecraft.class_1697 | 52 |
| Minecraft | minecraft:cow | net.minecraft.class_1430 | 12 |
| Minecraft | minecraft:creeper | net.minecraft.class_1548 | 13 |
| Minecraft | minecraft:dolphin | net.minecraft.class_1433 | 14 |
| Minecraft | minecraft:donkey | net.minecraft.class_1495 | 15 |
| Minecraft | minecraft:dragon_fireball | net.minecraft.class_1670 | 16 |
| Minecraft | minecraft:drowned | net.minecraft.class_1551 | 17 |
| Minecraft | minecraft:egg | net.minecraft.class_1681 | 89 |
| Minecraft | minecraft:elder_guardian | net.minecraft.class_1550 | 18 |
| Minecraft | minecraft:end_crystal | net.minecraft.class_1511 | 19 |
| Minecraft | minecraft:ender_dragon | net.minecraft.class_1510 | 20 |
| Minecraft | minecraft:ender_pearl | net.minecraft.class_1684 | 90 |
| Minecraft | minecraft:enderman | net.minecraft.class_1560 | 21 |
| Minecraft | minecraft:endermite | net.minecraft.class_1559 | 22 |
| Minecraft | minecraft:evoker | net.minecraft.class_1564 | 23 |
| Minecraft | minecraft:evoker_fangs | net.minecraft.class_1669 | 24 |
| Minecraft | minecraft:experience_bottle | net.minecraft.class_1683 | 91 |
| Minecraft | minecraft:experience_orb | net.minecraft.class_1303 | 25 |
| Minecraft | minecraft:eye_of_ender | net.minecraft.class_1672 | 26 |
| Minecraft | minecraft:falling_block | net.minecraft.class_1540 | 27 |
| Minecraft | minecraft:fireball | net.minecraft.class_1674 | 43 |
| Minecraft | minecraft:firework_rocket | net.minecraft.class_1671 | 28 |
| Minecraft | minecraft:fishing_bobber | net.minecraft.class_1536 | 112 |
| Minecraft | minecraft:fox | net.minecraft.class_4019 | 29 |
| Minecraft | minecraft:furnace_minecart | net.minecraft.class_1696 | 53 |
| Minecraft | minecraft:ghast | net.minecraft.class_1571 | 30 |
| Minecraft | minecraft:giant | net.minecraft.class_1570 | 31 |
| Minecraft | minecraft:glow_item_frame | net.minecraft.class_5915 | 32 |
| Minecraft | minecraft:glow_squid | net.minecraft.class_5776 | 33 |
| Minecraft | minecraft:goat | net.minecraft.class_6053 | 34 |
| Minecraft | minecraft:guardian | net.minecraft.class_1577 | 35 |
| Minecraft | minecraft:hoglin | net.minecraft.class_4760 | 36 |
| Minecraft | minecraft:hopper_minecart | net.minecraft.class_1700 | 54 |
| Minecraft | minecraft:horse | net.minecraft.class_1498 | 37 |
| Minecraft | minecraft:husk | net.minecraft.class_1576 | 38 |
| Minecraft | minecraft:illusioner | net.minecraft.class_1581 | 39 |
| Minecraft | minecraft:iron_golem | net.minecraft.class_1439 | 40 |
| Minecraft | minecraft:item | net.minecraft.class_1542 | 41 |
| Minecraft | minecraft:item_frame | net.minecraft.class_1533 | 42 |
| Minecraft | minecraft:leash_knot | net.minecraft.class_1532 | 44 |
| Minecraft | minecraft:lightning_bolt | net.minecraft.class_1538 | 45 |
| Minecraft | minecraft:llama | net.minecraft.class_1501 | 46 |
| Minecraft | minecraft:llama_spit | net.minecraft.class_1673 | 47 |
| Minecraft | minecraft:magma_cube | net.minecraft.class_1589 | 48 |
| Minecraft | minecraft:marker | net.minecraft.class_6335 | 49 |
| Minecraft | minecraft:minecart | net.minecraft.class_1695 | 50 |
| Minecraft | minecraft:mooshroom | net.minecraft.class_1438 | 58 |
| Minecraft | minecraft:mule | net.minecraft.class_1500 | 57 |
| Minecraft | minecraft:ocelot | net.minecraft.class_3701 | 59 |
| Minecraft | minecraft:painting | net.minecraft.class_1534 | 60 |
| Minecraft | minecraft:panda | net.minecraft.class_1440 | 61 |
| Minecraft | minecraft:parrot | net.minecraft.class_1453 | 62 |
| Minecraft | minecraft:phantom | net.minecraft.class_1593 | 63 |
| Minecraft | minecraft:pig | net.minecraft.class_1452 | 64 |
| Minecraft | minecraft:piglin | net.minecraft.class_4836 | 65 |
