+---------------------------------------------------+
| *** WARNING *** |
| Don't use the item ID for anything "proper"!! |
| It's provided here for completeness's sake, it's different in every world. |
+---------------------------------------------------+
| Mod name | Registry name | Item ID | Display name |
+---------------------------------------------------+
| Minecraft | minecraft:acacia_boat | 674 | 金合欢木船 |
| Minecraft | minecraft:acacia_button | 615 | 金合欢木按钮 |
| Minecraft | minecraft:acacia_door | 636 | 金合欢木门 |
| Minecraft | minecraft:acacia_fence | 261 | 金合欢木栅栏 |
| Minecraft | minecraft:acacia_fence_gate | 653 | 金合欢木栅栏门 |
| Minecraft | minecraft:acacia_leaves | 137 | 金合欢树叶 |
| Minecraft | minecraft:acacia_log | 105 | 金合欢原木 |
| Minecraft | minecraft:acacia_planks | 26 | 金合欢木板 |
| Minecraft | minecraft:acacia_pressure_plate | 627 | 金合欢木压力板 |
| Minecraft | minecraft:acacia_sapling | 34 | 金合欢树苗 |
| Minecraft | minecraft:acacia_sign | 772 | 金合欢木告示牌 |
| Minecraft | minecraft:acacia_slab | 208 | 金合欢木台阶 |
| Minecraft | minecraft:acacia_stairs | 391 | 金合欢木楼梯 |
| Minecraft | minecraft:acacia_trapdoor | 645 | 金合欢木活板门 |
| Minecraft | minecraft:acacia_wood | 129 | 金合欢木 |
| Minecraft | minecraft:activator_rail | 660 | 激活铁轨 |
| Minecraft | minecraft:air | 0 |  |
| Minecraft | minecraft:allium | 176 | 绒球葱 |
| Minecraft | minecraft:amethyst_block | 63 | 紫水晶块 |
| Minecraft | minecraft:amethyst_cluster | 1099 | 紫水晶簇 |
| Minecraft | minecraft:amethyst_shard | 690 | 紫水晶碎片 |
| Minecraft | minecraft:ancient_debris | 58 | 远古残骸 |
| Minecraft | minecraft:andesite | 6 | 安山岩 |
| Minecraft | minecraft:andesite_slab | 576 | 安山岩台阶 |
| Minecraft | minecraft:andesite_stairs | 559 | 安山岩楼梯 |
| Minecraft | minecraft:andesite_wall | 334 | 安山岩墙 |
| Minecraft | minecraft:anvil | 346 | 铁砧 |
| Minecraft | minecraft:apple | 681 | 苹果 |
| Minecraft | minecraft:armor_stand | 972 | 盔甲架 |
| Minecraft | minecraft:arrow | 683 | 箭 |
| Minecraft | minecraft:axolotl_bucket | 787 | 美西螈桶 |
| Minecraft | minecraft:axolotl_spawn_egg | 873 | 美西螈刷怪蛋 |
| Minecraft | minecraft:azalea | 152 | 杜鹃花丛 |
| Minecraft | minecraft:azalea_leaves | 139 | 杜鹃树叶 |
| Minecraft | minecraft:azure_bluet | 177 | 蓝花美耳草 |
| Minecraft | minecraft:baked_potato | 949 | 烤马铃薯 |
| Minecraft | minecraft:bamboo | 203 | 竹子 |
| Minecraft | minecraft:barrel | 1043 | 木桶 |
| Minecraft | minecraft:barrier | 370 | 屏障 |
| Minecraft | minecraft:basalt | 271 | 玄武岩 |
| Minecraft | minecraft:bat_spawn_egg | 874 | 蝙蝠刷怪蛋 |
| Minecraft | minecraft:beacon | 324 | 信标 |
| Minecraft | minecraft:bedrock | 36 | 基岩 |
| Minecraft | minecraft:bee_nest | 1060 | 蜂巢 |
| Minecraft | minecraft:bee_spawn_egg | 875 | 蜜蜂刷怪蛋 |
| Minecraft | minecraft:beef | 853 | 生牛肉 |
| Minecraft | minecraft:beehive | 1061 | 蜂箱 |
| Minecraft | minecraft:beetroot | 1001 | 甜菜根 |
| Minecraft | minecraft:beetroot_seeds | 1002 | 甜菜种子 |
| Minecraft | minecraft:beetroot_soup | 1003 | 甜菜汤 |
| Minecraft | minecraft:bell | 1051 | 钟 |
| Minecraft | minecraft:big_dripleaf | 201 | 大型垂滴叶 |
| Minecraft | minecraft:birch_boat | 672 | 白桦木船 |
| Minecraft | minecraft:birch_button | 613 | 白桦木按钮 |
| Minecraft | minecraft:birch_door | 634 | 白桦木门 |
| Minecraft | minecraft:birch_fence | 259 | 白桦木栅栏 |
| Minecraft | minecraft:birch_fence_gate | 651 | 白桦木栅栏门 |
| Minecraft | minecraft:birch_leaves | 135 | 白桦树叶 |
| Minecraft | minecraft:birch_log | 103 | 白桦原木 |
| Minecraft | minecraft:birch_planks | 24 | 白桦木板 |
| Minecraft | minecraft:birch_pressure_plate | 625 | 白桦木压力板 |
| Minecraft | minecraft:birch_sapling | 32 | 白桦树苗 |
| Minecraft | minecraft:birch_sign | 770 | 白桦木告示牌 |
| Minecraft | minecraft:birch_slab | 206 | 白桦木台阶 |
| Minecraft | minecraft:birch_stairs | 319 | 白桦木楼梯 |
| Minecraft | minecraft:birch_trapdoor | 643 | 白桦木活板门 |
| Minecraft | minecraft:birch_wood | 127 | 白桦木 |
| Minecraft | minecraft:black_banner | 997 | 黑色旗帜 |
| Minecraft | minecraft:black_bed | 845 | 黑色床 |
| Minecraft | minecraft:black_candle | 1095 | 黑色蜡烛 |
| Minecraft | minecraft:black_carpet | 388 | 黑色地毯 |
| Minecraft | minecraft:black_concrete | 499 | 黑色混凝土 |
| Minecraft | minecraft:black_concrete_powder | 515 | 黑色混凝土粉末 |
| Minecraft | minecraft:black_dye | 825 | 黑色染料 |
| Minecraft | minecraft:black_glazed_terracotta | 483 | 黑色带釉陶瓦 |
| Minecraft | minecraft:black_shulker_box | 467 | 黑色潜影盒 |
| Minecraft | minecraft:black_stained_glass | 415 | 黑色染色玻璃 |
| Minecraft | minecraft:black_stained_glass_pane | 431 | 黑色染色玻璃板 |
| Minecraft | minecraft:black_terracotta | 369 | 黑色陶瓦 |
| Minecraft | minecraft:black_wool | 172 | 黑色羊毛 |
| Minecraft | minecraft:blackstone | 1066 | 黑石 |
| Minecraft | minecraft:blackstone_slab | 1067 | 黑石台阶 |
| Minecraft | minecraft:blackstone_stairs | 1068 | 黑石楼梯 |
| Minecraft | minecraft:blackstone_wall | 339 | 黑石墙 |
| Minecraft | minecraft:blast_furnace | 1045 | 高炉 |
| Minecraft | minecraft:blaze_powder | 867 | 烈焰粉 |
| Minecraft | minecraft:blaze_rod | 859 | 烈焰棒 |
| Minecraft | minecraft:blaze_spawn_egg | 876 | 烈焰人刷怪蛋 |
| Minecraft | minecraft:blue_banner | 993 | 蓝色旗帜 |
| Minecraft | minecraft:blue_bed | 841 | 蓝色床 |
| Minecraft | minecraft:blue_candle | 1091 | 蓝色蜡烛 |
| Minecraft | minecraft:blue_carpet | 384 | 蓝色地毯 |
| Minecraft | minecraft:blue_concrete | 495 | 蓝色混凝土 |
| Minecraft | minecraft:blue_concrete_powder | 511 | 蓝色混凝土粉末 |
| Minecraft | minecraft:blue_dye | 821 | 蓝色染料 |
| Minecraft | minecraft:blue_glazed_terracotta | 479 | 蓝色带釉陶瓦 |
| Minecraft | minecraft:blue_ice | 547 | 蓝冰 |
| Minecraft | minecraft:blue_orchid | 175 | 兰花 |
| Minecraft | minecraft:blue_shulker_box | 463 | 蓝色潜影盒 |
| Minecraft | minecraft:blue_stained_glass | 411 | 蓝色染色玻璃 |
| Minecraft | minecraft:blue_stained_glass_pane | 427 | 蓝色染色玻璃板 |
| Minecraft | minecraft:blue_terracotta | 365 | 蓝色陶瓦 |
| Minecraft | minecraft:blue_wool | 168 | 蓝色羊毛 |
| Minecraft | minecraft:bone | 827 | 骨头 |
| Minecraft | minecraft:bone_block | 449 | 骨块 |
| Minecraft | minecraft:bone_meal | 826 | 骨粉 |
| Minecraft | minecraft:book | 792 | 书 |
| Minecraft | minecraft:bookshelf | 233 | 书架 |
| Minecraft | minecraft:bow | 682 | 弓 |
| Minecraft | minecraft:bowl | 730 | 碗 |
| Minecraft | minecraft:brain_coral | 528 | 脑纹珊瑚 |
| Minecraft | minecraft:brain_coral_block | 523 | 脑纹珊瑚块 |
| Minecraft | minecraft:brain_coral_fan | 538 | 脑纹珊瑚扇 |
| Minecraft | minecraft:bread | 737 | 面包 |
| Minecraft | minecraft:brewing_stand | 869 | 酿造台 |
| Minecraft | minecraft:brick | 788 | 红砖 |
| Minecraft | minecraft:brick_slab | 218 | 砖台阶 |
| Minecraft | minecraft:brick_stairs | 301 | 砖楼梯 |
| Minecraft | minecraft:brick_wall | 327 | 砖块墙 |
| Minecraft | minecraft:bricks | 232 | 砖块 |
| Minecraft | minecraft:brown_banner | 994 | 棕色旗帜 |
| Minecraft | minecraft:brown_bed | 842 | 棕色床 |
| Minecraft | minecraft:brown_candle | 1092 | 棕色蜡烛 |
| Minecraft | minecraft:brown_carpet | 385 | 棕色地毯 |
| Minecraft | minecraft:brown_concrete | 496 | 棕色混凝土 |
| Minecraft | minecraft:brown_concrete_powder | 512 | 棕色混凝土粉末 |
| Minecraft | minecraft:brown_dye | 822 | 棕色染料 |
| Minecraft | minecraft:brown_glazed_terracotta | 480 | 棕色带釉陶瓦 |
| Minecraft | minecraft:brown_mushroom | 187 | 棕色蘑菇 |
| Minecraft | minecraft:brown_mushroom_block | 292 | 棕色蘑菇方块 |
| Minecraft | minecraft:brown_shulker_box | 464 | 棕色潜影盒 |
| Minecraft | minecraft:brown_stained_glass | 412 | 棕色染色玻璃 |
| Minecraft | minecraft:brown_stained_glass_pane | 428 | 棕色染色玻璃板 |
| Minecraft | minecraft:brown_terracotta | 366 | 棕色陶瓦 |
| Minecraft | minecraft:brown_wool | 169 | 棕色羊毛 |
| Minecraft | minecraft:bubble_coral | 529 | 气泡珊瑚 |
| Minecraft | minecraft:bubble_coral_block | 524 | 气泡珊瑚块 |
